IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_DOS;NOTA_ECUA;NOTA_TERMO;NOTA_CIR_DOS;NOTA_EL_UNO;VECES_ECUA;NOTA_FIS_TRES;NOTA_MULTI;NCP_DOS;NCA_DOS;VECES_TERMO;NOTA_EL_DOS;NOTA_MPI;NOTA_ME;NOTA_PYE;NOTA_ELD;VECES_ME;VECES_EL_DOS;NOTA_GEE;NOTA_CIR_TRES;VECES_PYE;PROMEDIO_CINCO;RENDIMIENTO_CINCO
39.11;407.52;52.53;2009;56.57;46.0;47.08;0;48.23;35.588235294117645;40;30;35;35;37;35;45;2;2;35.75;30;50;30;40;1;35;30;0.0;16.0;1;36;35;32;33;44;1;1;36;44;1;37.88235294117647;2.0
49.65;427.45;45.69;2009;49.15;57.36;41.86;0;55.79;37.94117647058823;40;30;40;35;30;30;40;2;2;35.0;30;50;35;35;1;40;30;0.0;16.0;1;35;35;30;0;41;2;1;33;0;0;34.5;2.0
39.11;440.42;53.45;2010;56.79;53.84;48.98;0;57.84;36.470588235294116;39;30;37;30;37;24;45;3;3;33.25;32;0;0;0;1;37;30;3.0;13.0;0;0;0;0;31;0;0;0;0;0;1;38.0;2.0
67.51;429.97;48.33;2010;52.45;52.57;58.46;1;48.79;39.411764705882355;45;35;30;45;50;35;50;1;1;39.0625;40;50;30;30;2;30;30;0.0;16.0;1;34;40;39;34;49;1;1;35;31;1;40.411764705882355;3.0
59.64;463.73;57.99;2010;50.37;64.8;48.86;0;49.05;38.23529411764706;45;30;35;30;50;30;45;1;1;35.9375;35;50;30;30;1;35;33;0.0;16.0;1;39;35;37;37;30;1;1;32;40;1;39.88235294117647;2.0
67.6;431.96;59.61;2010;52.77;56.05;51.25;0;53.85;34.705882352941174;30;30;30;35;40;26;40;1;1;31.125;35;50;0;0;1;30;30;3.0;13.0;1;0;35;30;28;0;1;0;0;0;2;34.0;2.0
57.84;480.28;56.34;2010;63.33;57.31;53.94;0;68.0;41.1764705882353;45;35;30;45;35;35;45;2;1;37.8125;39;50;32;35;1;30;36;0.0;16.0;1;34;35;34;32;36;1;1;37;47;2;39.05882352941177;2.0
56.01;445.29;54.01;2010;66.67;50.18;57.3;0;62.46;37.35294117647059;30;35;35;35;35;30;50;2;2;34.0625;41;34;32;33;1;35;40;0.0;16.0;1;32;38;38;31;34;1;1;33;31;2;34.0;2.0
47.17;441.57;50.58;2010;50.37;56.4;46.59;0;49.05;35.294117647058826;35;30;40;40;40;30;30;1;1;34.6875;39;36;30;30;1;40;37;0.0;16.0;1;33;36;35;35;32;1;1;31;39;1;34.23529411764706;2.0
48.4;447.88;50.58;2010;58.8;51.1;61.03;0;53.07;32.05882352941177;38;32;30;30;33;30;30;4;1;32.0625;29;30;31;31;1;30;10;0.0;16.0;1;0;30;0;0;0;0;0;4;0;0;14.0;1.0
59.64;441.81;58.27;2010;56.64;59.89;46.77;0;50.78;34.705882352941174;40;30;40;35;44;30;43;1;1;36.0625;38;37;30;31;1;40;31;0.0;16.0;1;40;39;37;31;33;1;1;30;47;1;36.705882352941174;2.0
41.7;475.81;56.34;2010;59.11;59.03;49.58;0;68.0;38.529411764705884;40;36;30;30;40;30;35;2;2;33.9375;33;32;33;30;1;30;30;0.0;16.0;1;30;33;34;34;35;2;1;34;44;1;38.76470588235294;2.0
52.09;453.48;53.43;2010;54.54;56.08;53.59;0;61.16;36.76470588235294;45;30;35;30;40;36;50;1;2;36.75;30;37;34;42;1;35;32;0.0;16.0;2;39;36;35;34;39;3;2;32;43;1;37.07142857142857;2.0
43.48;431.93;48.33;2010;52.45;56.08;42.19;0;48.79;37.94117647058823;35;35;30;40;40;30;45;2;1;34.6875;39;30;33;30;1;30;33;0.0;16.0;1;38;30;33;35;33;2;2;24;32;1;35.0;2.0
60.23;452.32;51.86;2010;57.87;53.85;62.45;0;50.63;36.1764705882353;45;35;35;45;45;40;50;2;1;40.625;32;50;31;42;1;35;32;0.0;16.0;1;33;35;40;30;34;1;2;33;43;2;34.294117647058826;2.0
48.4;389.23;53.11;2010;43.99;49.37;46.59;0;47.0;36.1764705882353;35;30;35;45;45;37;40;1;1;36.625;30;36;42;35;1;35;34;0.0;16.0;1;36;35;36;32;39;1;2;30;44;1;33.35294117647059;2.0
59.64;411.86;57.99;2010;50.37;54.59;46.59;1;53.07;42.35294117647059;35;35;35;45;45;45;50;1;1;39.6875;34;50;47;30;1;35;37;0.0;16.0;1;34;35;40;32;43;1;2;33;46;1;37.214285714285715;2.0
42.76;439.54;50.58;2010;52.54;56.4;51.14;1;53.07;35.588235294117645;40;30;30;40;45;35;45;2;1;35.9375;30;50;30;30;2;30;36;0.0;16.0;1;40;40;45;37;39;1;2;34;46;1;38.285714285714285;2.0
65.1;445.87;53.43;2010;54.6;54.3;53.59;0;52.77;38.8235294117647;45;35;40;41;40;30;45;1;1;38.5625;33;35;31;34;1;40;42;0.0;16.0;1;33;41;37;36;35;1;1;32;30;1;32.857142857142854;2.0
49.6;462.5;53.97;2010;55.21;59.03;51.78;0;63.27;35.588235294117645;40;30;30;45;39;30;50;2;1;35.5625;37;33;30;30;3;30;30;0.0;16.0;1;39;31;36;33;33;1;3;30;12;1;33.083333333333336;2.0
79.55;478.75;48.33;2010;54.54;64.33;53.59;1;54.77;38.8235294117647;40;35;40;45;45;35;45;2;1;39.375;30;50;30;30;1;40;39;0.0;16.0;1;36;40;39;36;30;1;1;37;32;1;39.42857142857143;2.0
41.68;433.24;48.33;2010;61.03;54.3;42.19;0;46.76;33.23529411764706;40;30;31;40;0;23;45;1;3;33.13333333333333;30;3;0;0;1;31;26;3.0;12.0;2;0;37;0;0;0;0;0;0;0;0;19.0;1.0
35.81;394.33;45.15;2010;52.54;51.1;44.29;0;53.07;37.35294117647059;40;32;35;45;35;37;45;1;2;37.625;37;30;31;37;1;35;32;0.0;16.0;1;36;39;39;34;0;1;1;14;0;1;33.833333333333336;2.0
50.86;424.65;55.56;2010;58.8;58.28;39.52;0;59.3;36.470588235294116;30;30;30;40;45;30;40;2;1;32.8125;7;45;30;30;2;30;13;0.0;16.0;1;11;30;0;0;5;0;2;18;0;0;3.0;1.0
56.48;428.73;55.86;2010;61.07;54.3;44.51;0;44.68;37.94117647058823;40;35;40;45;45;35;45;2;2;39.375;33;32;34;40;1;40;30;0.0;16.0;1;36;41;42;34;37;1;1;35;44;1;35.714285714285715;2.0
51.23;451.49;47.62;2010;55.65;53.59;52.48;0;59.82;36.1764705882353;40;40;35;45;0;26;45;1;1;37.2;30;0;0;0;1;35;41;3.0;12.0;1;0;11;21;38;0;1;0;0;0;2;18.6;1.0
39.05;441.59;53.43;2010;54.54;64.33;44.51;0;52.77;35.0;35;40;30;40;40;30;45;2;2;35.625;38;35;30;30;1;30;36;0.0;16.0;1;32;38;38;32;39;1;1;34;47;1;37.642857142857146;2.0
54.9;441.79;53.11;2010;52.54;58.28;46.59;0;59.3;40.88235294117647;35;35;30;40;35;40;40;1;1;35.9375;34;35;43;36;1;30;39;0.0;16.0;1;41;35;38;37;36;1;1;31;31;1;35.22222222222222;2.0
62.69;456.1;58.27;2010;50.37;50.85;49.02;0;50.78;39.705882352941174;40;35;30;40;40;35;45;1;1;36.5625;30;50;30;32;1;30;30;0.0;16.0;1;33;32;33;37;30;1;1;38;41;1;32.214285714285715;2.0
54.9;470.32;60.67;2010;63.4;59.89;49.02;0;50.78;37.64705882352941;45;30;30;45;40;35;50;1;1;37.5;35;50;30;39;1;30;30;0.0;16.0;1;28;35;35;33;45;1;1;0;37;1;33.55555555555556;2.0
65.86;455.01;47.54;2010;60.56;56.05;44.72;0;60.0;37.94117647058823;50;35;30;50;50;40;50;1;1;41.5625;35;50;35;30;1;30;30;0.0;16.0;1;35;35;30;39;48;1;1;30;42;1;35.142857142857146;2.0
62.69;438.56;53.43;2010;54.54;50.85;37.24;0;48.79;36.76470588235294;40;35;30;45;40;30;45;2;1;36.25;30;30;32;35;1;30;33;0.0;16.0;2;33;38;33;32;31;2;1;35;32;3;32.72727272727273;2.0
72.32;477.7;50.58;2010;56.7;56.4;51.14;0;51.06;39.411764705882355;40;35;30;50;50;30;40;1;1;37.1875;35;50;34;30;1;30;34;0.0;16.0;1;33;35;33;32;38;1;2;35;43;1;36.0;2.0
48.4;426.08;58.27;2010;56.64;52.57;49.02;0;48.79;35.88235294117647;45;35;45;40;40;30;50;2;1;39.6875;30;50;30;35;1;45;38;0.0;16.0;1;36;35;38;30;46;1;1;39;41;1;39.142857142857146;2.0
65.1;453.6;57.99;2010;52.54;49.37;53.46;0;55.09;32.64705882352941;40;30;30;35;40;34;45;2;2;34.8125;30;30;21;35;2;30;41;0.0;16.0;2;0;35;0;6;0;0;0;0;0;1;30.0;1.0
83.41;450.37;58.27;2010;58.8;56.08;58.46;0;56.82;36.1764705882353;40;35;30;35;40;30;40;1;1;34.6875;35;50;30;33;1;30;35;0.0;16.0;1;30;30;31;32;32;1;1;41;32;1;33.142857142857146;2.0
56.48;440.49;53.11;2010;50.37;54.59;53.46;1;53.07;35.0;45;30;40;40;45;30;45;2;1;37.8125;30;50;30;35;1;40;39;0.0;16.0;1;34;40;38;36;34;1;1;31;50;1;37.42857142857143;2.0
69.92;418.18;50.94;2010;56.64;52.57;37.24;1;50.78;42.05882352941177;40;37;35;40;45;30;50;2;1;37.5625;38;50;33;41;1;35;36;0.0;16.0;1;37;40;43;33;37;1;1;31;34;1;38.42857142857143;2.0
42.76;424.24;58.27;2010;48.26;49.12;44.51;1;50.78;33.23529411764706;45;30;35;45;40;30;40;2;1;36.875;32;50;30;30;1;35;39;0.0;16.0;1;31;35;42;30;42;2;1;30;50;1;36.785714285714285;2.0
69.92;430.88;50.94;2010;52.45;57.93;46.77;1;50.78;34.94117647058823;38;36;39;43;47;30;30;1;1;37.0;30;43;36;46;1;39;31;0.0;16.0;1;36;36;41;39;46;1;1;30;30;1;33.714285714285715;2.0
47.17;431.56;53.43;2010;61.03;52.57;46.77;0;50.78;37.94117647058823;35;30;30;40;36;30;45;1;1;33.5;30;50;35;32;1;30;34;0.0;16.0;1;37;30;42;35;35;1;1;30;44;1;37.714285714285715;2.0
50.86;450.54;47.95;2010;50.37;58.28;41.95;0;42.7;34.411764705882355;35;45;30;30;35;40;45;2;1;36.875;36;30;31;31;1;30;36;0.0;16.0;1;39;35;31;34;48;1;3;30;36;2;33.92857142857143;2.0
42.76;434.63;58.27;2010;48.37;56.08;46.77;0;48.79;38.529411764705884;40;40;30;35;45;30;35;1;1;35.625;37;50;30;33;1;30;35;0.0;16.0;1;32;35;38;30;30;1;1;31;44;1;37.0;2.0
49.63;402.89;50.58;2010;52.45;49.37;39.52;0;49.05;36.470588235294116;40;30;35;45;50;30;40;1;1;36.5625;30;50;30;30;1;35;35;0.0;16.0;1;41;36;31;35;35;1;1;37;46;1;37.285714285714285;2.0
49.63;425.88;60.41;2010;48.26;56.4;41.95;0;49.05;41.470588235294116;45;30;40;45;35;30;50;1;1;38.125;35;50;35;38;1;40;31;0.0;16.0;1;31;44;34;34;33;1;1;34;31;1;34.0;2.0
69.92;413.72;50.58;2010;48.37;56.4;46.59;0;53.07;36.1764705882353;40;30;40;32;33;37;45;1;1;36.4375;44;40;23;36;1;40;31;0.0;16.0;1;22;38;34;0;24;2;1;0;0;0;22.8;1.0
49.51;440.52;44.88;2010;57.88;55.37;52.48;0;57.49;36.1764705882353;35;35;35;40;45;32;45;1;1;36.3125;30;34;33;33;2;35;30;0.0;16.0;1;39;42;37;36;48;1;1;31;48;1;36.0;2.0
47.79;431.92;58.08;2010;56.74;48.57;48.87;0;51.72;34.411764705882355;30;33;30;40;40;30;40;1;1;33.0625;31;33;30;38;2;30;30;0.0;16.0;1;39;40;35;36;33;1;3;37;49;1;34.5;2.0
53.32;480.22;63.26;2010;56.74;53.73;46.23;0;59.85;44.11764705882353;45;40;30;45;40;40;50;1;1;40.3125;47;47;37;45;1;30;45;0.0;16.0;1;39;40;47;37;44;1;1;40;41;1;38.5;2.0
44.92;440.73;50.54;2010;56.52;51.98;58.95;0;47.86;34.411764705882355;35;30;31;40;40;33;45;1;1;34.5;30;36;34;32;1;31;32;0.0;16.0;1;31;40;32;33;31;1;1;30;33;1;36.714285714285715;2.0
67.51;440.29;48.33;2010;54.6;54.3;49.02;0;48.79;36.1764705882353;40;30;35;35;0;35;45;2;1;35.666666666666664;34;32;39;33;3;35;34;0.0;15.0;1;0;37;0;0;0;0;0;0;0;0;35.5;2.0
40.28;434.74;58.08;2010;58.49;50.26;53.93;1;53.65;35.588235294117645;30;30;35;40;40;30;45;2;1;33.75;31;30;30;40;1;35;30;0.0;16.0;1;30;41;34;31;43;1;1;20;0;2;30.88888888888889;2.0
46.35;422.58;55.56;2010;50.62;50.26;51.42;0;47.86;35.0;35;30;30;40;40;30;45;1;1;33.75;40;33;30;33;1;30;31;0.0;16.0;1;33;40;37;30;33;1;2;31;47;1;36.214285714285715;2.0
53.32;426.97;47.95;2010;41.48;51.1;58.36;0;51.06;35.294117647058826;35;35;30;35;35;33;50;1;1;34.625;36;34;31;31;1;30;40;0.0;16.0;1;36;38;33;33;34;1;1;38;41;1;34.857142857142854;2.0
40.89;431.3;54.91;2010;54.66;49.3;51.25;0;51.96;39.8235294117647;33;40;39;45;0;42;45;1;1;39.8;43;47;32;41;1;39;38;0.0;15.0;1;38;42;37;37;44;1;1;35;45;1;37.5;2.0
44.74;429.18;54.91;2010;48.95;56.05;46.69;1;53.85;39.11764705882353;35;35;40;40;45;30;50;1;1;37.1875;30;30;34;30;1;40;31;0.0;16.0;1;38;42;32;38;44;1;1;30;48;1;35.42857142857143;2.0
38.31;423.88;53.45;2010;45.12;48.83;44.72;0;53.84;33.64705882352941;36;31;43;39;44;39;40;1;3;38.0625;43;38;30;41;1;43;42;0.0;16.0;1;32;44;40;37;33;1;1;30;50;1;36.5;2.0
43.48;410.67;66.75;2010;50.62;53.91;45.93;0;43.61;36.1764705882353;40;30;43;40;44;30;45;1;2;37.375;33;30;33;30;1;43;33;0.0;16.0;1;32;38;36;30;34;1;2;33;45;1;34.357142857142854;2.0
37.1;424.73;51.21;2010;64.83;53.91;51.15;0;51.5;37.94117647058823;35;40;35;35;35;40;45;1;1;37.5;47;45;31;45;1;35;40;0.0;16.0;1;33;39;46;37;44;1;1;35;34;1;41.142857142857146;3.0
65.1;427.86;50.94;2010;54.54;54.3;53.59;0;48.79;40.88235294117647;35;35;40;40;35;31;40;1;1;36.125;34;33;28;35;1;40;30;0.0;16.0;1;35;39;33;41;33;2;1;0;0;1;33.0;2.0
49.63;471.8;58.27;2010;58.8;57.93;51.28;0;52.77;37.05882352941177;40;30;35;40;39;35;45;1;1;36.5;40;39;34;39;1;35;40;0.0;16.0;1;31;38;41;40;43;1;1;36;37;2;34.57142857142857;2.0
65.1;435.64;53.11;2010;52.45;49.37;41.95;0;53.07;36.294117647058826;36;30;41;40;47;33;45;1;1;37.0;30;31;33;31;1;41;31;0.0;16.0;1;31;38;38;34;37;2;1;34;49;1;37.07142857142857;2.0
45.98;441.03;50.98;2010;51.08;50.5;49.38;0;60.01;36.470588235294116;30;40;35;35;35;30;40;1;1;34.375;41;37;40;36;1;35;36;0.0;16.0;1;30;36;33;0;39;1;1;34;30;2;17.214285714285715;1.0
47.79;470.52;63.26;2010;60.74;57.48;48.87;0;51.72;36.76470588235294;40;30;30;35;35;30;40;1;1;33.4375;33;36;22;30;1;30;35;0.0;16.0;3;36;39;32;28;0;1;1;0;0;2;25.3;1.0
49.22;434.04;51.21;2010;52.61;59.76;48.58;1;57.54;37.35294117647059;35;30;30;40;40;30;45;1;1;33.75;32;34;30;41;1;30;42;0.0;16.0;1;37;43;41;32;31;1;1;31;47;1;37.642857142857146;2.0
67.51;443.16;50.58;2010;58.8;54.59;46.59;0;59.3;38.8235294117647;30;32;31;40;0;32;46;1;1;33.4;30;30;37;37;1;31;30;0.0;15.0;1;31;42;33;26;36;1;1;33;37;1;36.09090909090909;2.0
50.86;440.83;50.58;2010;56.64;52.83;48.86;0;57.16;37.64705882352941;40;30;30;40;42;35;45;1;1;35.75;31;34;35;34;1;30;31;0.0;16.0;1;37;40;40;34;40;1;1;37;30;1;36.07142857142857;2.0
46.35;440.34;50.54;2010;62.84;50.26;56.42;1;49.79;39.11764705882353;35;30;35;40;40;35;45;1;1;35.625;34;38;37;40;1;35;34;0.0;16.0;1;31;40;41;34;38;1;1;36;45;1;39.07142857142857;2.0
57.84;450.72;49.04;2010;61.16;47.6;62.81;0;65.51;38.23529411764706;30;33;40;40;35;35;50;1;1;36.1875;34;31;33;39;1;40;35;0.0;16.0;1;35;38;31;34;39;1;3;33;43;1;36.357142857142854;2.0
43.48;446.34;54.91;2010;58.52;59.94;41.86;0;50.09;34.11764705882353;35;34;39;35;35;42;43;1;2;37.375;31;33;29;33;2;39;38;0.0;16.0;2;34;41;32;30;30;1;1;0;0;3;10.0;1.0
45.94;410.88;50.58;2010;46.1;52.83;48.86;0;42.7;35.588235294117645;39;30;43;40;35;31;45;1;2;36.8125;31;42;30;34;1;43;43;0.0;16.0;1;31;40;34;33;36;1;2;30;40;1;35.0;2.0
65.1;444.13;55.86;2010;48.26;54.3;44.51;1;52.77;38.8235294117647;38;30;30;40;35;30;45;1;1;34.0;40;39;37;38;1;30;31;0.0;16.0;1;38;39;41;33;36;1;1;30;32;1;35.07142857142857;2.0
54.64;436.69;53.74;2010;56.52;45.33;64.0;0;51.5;34.411764705882355;42;32;35;45;33;30;40;2;1;36.25;31;32;30;32;2;35;38;0.0;16.0;1;39;40;33;31;30;1;2;30;41;1;33.63636363636363;2.0
61.22;420.44;51.73;2010;55.25;45.4;48.41;0;55.99;44.11764705882353;40;40;40;45;35;40;45;1;1;40.625;39;39;30;39;1;40;40;0.0;16.0;1;38;37;43;35;38;1;1;36;36;1;37.57142857142857;2.0
44.71;425.45;47.95;2010;61.03;54.59;46.59;0;47.0;37.05882352941177;40;35;35;35;35;31;35;2;1;35.1875;30;30;33;33;1;35;33;0.0;16.0;1;33;40;38;32;35;2;1;36;30;1;37.785714285714285;2.0
42.76;438.92;58.27;2010;54.6;56.08;53.59;0;50.78;36.76470588235294;42;35;43;30;33;30;35;3;1;36.125;30;43;30;31;1;43;33;0.0;16.0;1;38;32;31;30;37;1;2;30;33;2;32.57142857142857;2.0
49.22;371.25;53.74;2010;48.81;39.76;36.89;0;47.62;40.294117647058826;45;40;35;45;35;40;45;1;1;40.625;30;36;34;35;1;35;32;0.0;16.0;1;35;41;39;30;34;1;1;30;30;1;31.785714285714285;2.0
77.14;422.38;50.94;2010;54.54;54.3;34.5;0;46.76;36.8235294117647;32;30;40;40;30;40;45;1;1;36.3125;40;30;30;32;1;40;34;0.0;16.0;1;34;42;38;37;35;1;2;31;32;2;35.357142857142854;2.0
47.14;422.87;58.7;2010;62.72;53.94;44.09;0;56.94;40.0;40;40;40;45;40;40;45;1;1;40.9375;37;38;36;39;1;40;39;0.0;16.0;1;40;36;43;33;41;1;1;35;39;1;36.57142857142857;2.0
58.59;436.6;51.21;2010;65.07;48.74;53.66;0;51.5;35.0;45;30;30;40;44;35;45;1;1;36.8125;44;41;41;34;1;30;30;0.0;16.0;1;35;38;41;37;43;1;1;30;46;1;37.07142857142857;2.0
54.9;429.75;47.95;2010;52.54;52.83;48.86;0;47.0;37.588235294117645;38;30;35;33;33;30;38;1;1;33.5;31;35;19;38;1;35;31;0.0;16.0;2;0;0;35;33;26;1;0;0;0;1;17.5;1.0
59.64;399.19;55.56;2010;54.54;51.1;51.14;0;42.7;34.411764705882355;35;30;33;40;35;30;40;1;2;33.6875;35;30;37;30;2;33;33;0.0;16.0;1;30;35;35;34;30;1;1;32;48;1;35.714285714285715;2.0
47.79;380.32;52.72;2010;55.65;50.23;42.11;0;46.74;35.88235294117647;35;35;40;35;39;35;40;1;1;36.5;33;39;36;34;1;40;31;0.0;16.0;1;34;42;33;34;40;1;1;30;44;1;32.714285714285715;2.0
47.21;406.06;56.51;2010;61.76;50.66;48.41;0;40.94;33.94117647058823;38;36;35;37;41;43;30;2;1;37.5625;32;37;26;33;1;35;38;0.0;16.0;1;34;33;31;36;34;1;1;0;0;3;10.6;1.0
45.98;432.16;46.84;2010;53.22;55.7;48.41;0;51.92;37.05882352941177;30;33;30;30;42;30;40;2;1;31.9375;31;37;38;31;1;30;39;0.0;16.0;1;35;39;38;33;31;1;1;32;31;2;33.357142857142854;2.0
42.76;420.84;50.54;2010;56.52;61.86;40.49;0;53.65;37.470588235294116;40;30;32;35;35;37;45;1;2;35.4375;30;30;37;30;3;32;36;0.0;16.0;1;38;0;33;0;35;1;3;0;0;0;32.2;2.0
55.64;400.12;51.55;2010;51.38;54.05;44.92;0;51.89;37.23529411764706;40;36;33;35;41;35;44;3;1;36.6875;41;44;34;41;1;33;35;0.0;16.0;1;37;37;30;33;38;1;2;36;0;1;35.6;2.0
41.61;419.06;45.94;2010;62.61;48.74;45.93;0;51.5;38.294117647058826;35;35;35;35;35;35;40;2;1;35.3125;30;45;32;34;3;35;30;0.0;16.0;1;38;41;35;30;34;1;1;30;36;2;26.142857142857142;1.0
52.08;448.47;69.98;2011;59.4;69.14;63.68;0;63.2;35.11764705882353;46;35;45;37;38;31;41;2;1;39.0;30;31;42;42;1;45;31;0.0;16.0;1;40;39;35;41;39;1;1;30;42;2;35.357142857142854;2.0
66.95;450.27;73.09;2011;65.03;69.14;54.95;0;68.87;34.411764705882355;41;30;30;44;42;32;43;1;1;35.75;42;44;42;38;1;30;37;0.0;16.0;1;45;43;30;37;42;1;1;31;49;1;36.92857142857143;2.0
50.87;429.72;69.72;2011;59.4;49.44;51.89;0;63.99;35.705882352941174;37;31;45;41;42;35;41;2;1;38.0625;33;31;30;33;1;45;32;0.0;16.0;1;37;39;30;30;30;1;1;30;31;2;35.214285714285715;2.0
59.21;451.49;57.57;2011;67.92;63.93;60.81;1;65.98;40.0;50;46;36;43;40;42;44;1;1;43.25;41;45;44;44;1;36;41;0.0;16.0;1;39;40;47;39;45;1;1;38;41;1;41.642857142857146;3.0
77.13;470.71;50.75;2011;59.4;75.02;63.68;0;68.87;32.529411764705884;43;31;45;45;45;31;43;2;1;39.25;31;31;25;33;1;45;30;0.0;16.0;1;38;40;30;34;30;1;1;0;0;3;29.125;1.0
56.09;439.21;73.09;2011;64.91;56.56;59.66;0;52.34;37.35294117647059;45;34;47;44;39;36;41;1;1;40.875;40;43;30;31;1;47;38;0.0;16.0;1;31;36;34;36;36;1;2;30;45;1;35.357142857142854;2.0
94.41;482.15;63.65;2011;67.92;66.99;69.52;0;83.7;34.76470588235294;40;39;34;41;38;39;47;1;1;38.9375;30;35;26;32;1;34;39;0.0;16.0;1;37;46;31;33;22;1;1;0;0;1;21.5;1.0
53.27;469.07;57.57;2011;73.98;71.97;63.68;0;60.48;35.588235294117645;40;39;45;41;38;37;41;2;1;40.25;34;31;44;37;1;45;39;0.0;16.0;1;40;37;44;30;35;1;1;36;46;1;38.857142857142854;2.0
71.53;504.37;72.78;2011;59.27;103.04;53.93;0;63.99;37.470588235294116;42;32;41;42;43;32;50;3;1;38.625;44;41;31;43;1;41;36;0.0;16.0;1;31;42;41;41;37;1;1;31;36;1;33.214285714285715;2.0
75.1;489.4;69.72;2011;77.28;72.45;75.71;1;63.99;36.470588235294116;44;43;43;44;42;30;44;1;1;40.875;37;45;41;36;1;43;35;0.0;16.0;1;40;40;39;37;35;1;1;35;45;1;39.214285714285715;2.0
85.05;461.74;57.4;2011;64.91;75.48;53.93;0;66.77;39.11764705882353;45;50;47;48;43;39;46;1;1;45.5;41;45;47;42;1;47;46;0.0;16.0;1;41;39;40;35;43;1;1;33;36;1;39.714285714285715;2.0
55.62;443.5;69.72;2011;59.4;66.99;48.66;0;72.69;36.470588235294116;43;33;35;43;32;36;34;2;1;37.0625;32;44;39;34;1;35;32;0.0;16.0;1;36;41;32;30;37;2;2;36;37;1;30.916666666666668;2.0
62.94;466.97;60.76;2011;73.98;69.14;69.52;0;63.2;39.94117647058823;33;31;45;40;38;40;39;1;1;37.75;37;31;44;37;1;45;34;0.0;16.0;1;37;40;33;31;35;1;1;34;36;1;35.714285714285715;2.0
52.08;463.18;66.68;2011;59.27;72.45;68.09;0;63.99;37.94117647058823;34;35;30;30;39;34;39;2;1;33.5625;35;38;30;35;1;30;38;0.0;16.0;1;34;40;39;44;31;1;1;30;37;2;38.0;2.0
47.15;444.44;66.93;2011;67.92;71.97;57.9;1;63.2;37.05882352941177;45;30;34;47;49;36;37;1;1;38.4375;37;45;43;41;1;34;41;0.0;16.0;1;39;40;30;32;42;1;1;36;46;1;39.07142857142857;2.0
75.1;460.7;69.98;2011;59.4;78.39;41.38;0;63.2;40.0;47;45;39;40;37;41;40;1;1;42.0625;37;44;30;36;1;39;46;0.0;16.0;1;36;38;42;30;39;1;2;34;39;1;36.57142857142857;2.0
59.21;456.13;69.98;2011;47.41;75.02;63.68;0;68.87;35.88235294117647;45;36;44;43;42;32;50;1;1;40.5625;32;44;36;35;1;44;32;0.0;16.0;1;38;41;30;34;36;1;1;38;38;1;39.357142857142854;2.0
64.24;495.3;69.72;2011;73.98;75.48;66.58;0;69.65;40.294117647058826;45;43;37;41;43;30;46;1;1;39.75;44;45;36;40;1;37;48;0.0;16.0;1;41;43;44;38;44;1;1;37;45;1;42.142857142857146;3.0
49.66;479.98;69.72;2011;62.11;72.45;68.09;0;72.69;33.8235294117647;36;30;32;38;43;35;39;1;1;34.8125;32;42;36;36;1;32;41;0.0;16.0;1;33;36;34;32;35;1;1;30;31;1;40.214285714285715;3.0
62.94;500.4;60.76;2011;70.74;71.97;74.04;0;75.16;34.11764705882353;42;33;33;42;43;30;40;1;1;36.3125;35;45;44;30;1;33;39;0.0;16.0;1;35;40;37;31;36;1;1;31;45;1;38.857142857142854;2.0
58.01;455.57;63.65;2011;70.74;69.64;50.93;0;69.65;38.05882352941177;47;38;34;42;40;31;37;1;1;38.1875;33;43;46;40;1;34;35;0.0;16.0;1;30;38;39;39;30;1;1;32;42;2;35.57142857142857;2.0
77.13;475.3;63.86;2011;65.03;75.02;66.58;1;75.16;40.88235294117647;39;36;34;46;31;36;50;1;1;38.0;33;37;39;42;1;34;33;0.0;16.0;1;36;43;48;34;43;1;2;35;39;1;36.07142857142857;2.0
65.57;467.89;69.98;2011;70.74;66.48;71.0;0;65.98;34.705882352941174;40;30;43;34;35;34;38;1;2;36.375;31;31;20;31;1;43;31;0.0;16.0;1;0;38;30;30;4;2;0;0;0;2;28.2;1.0
62.94;470.7;69.98;2011;73.98;71.97;60.81;0;65.98;34.705882352941174;38;31;34;39;41;31;50;2;1;35.6875;31;43;33;31;2;34;31;0.0;16.0;1;39;33;30;38;38;1;2;31;30;2;29.785714285714285;1.0
50.87;455.45;69.72;2011;56.41;69.64;59.66;0;66.77;37.23529411764706;41;33;36;40;43;33;42;2;1;37.125;40;34;44;40;1;36;39;0.0;16.0;2;37;41;30;36;35;1;1;30;45;2;37.92857142857143;2.0
66.95;442.26;66.68;2011;67.8;59.52;56.82;1;58.6;39.411764705882355;42;38;35;47;41;35;41;1;1;39.125;31;42;33;33;2;35;30;0.0;16.0;1;33;39;43;38;30;1;1;35;33;2;34.57142857142857;2.0
